link_id,t_min,avg_weekday_speed_mph,length_mi,lanes,avg_weekday_flow_veh_per_hr_lane
1,0,67.1,0.525,1,1553.0
1,15,67.1,0.525,1,1557.0
1,30,68.0,0.525,1,1444.0
1,45,69.3,0.525,1,1347.0
1,60,70.0,0.525,1,1315.0
1,75,70.1,0.525,1,1278.0
1,90,71.3,0.525,1,1205.0
1,105,71.1,0.525,1,1225.0
1,120,71.0,0.525,1,1208.0
1,135,70.0,0.525,1,1300.0
1,150,70.0,0.525,1,1295.0
1,165,70.3,0.525,1,1281.0
1,180,70.4,0.525,1,1275.0
1,195,70.1,0.525,1,1288.0
1,210,69.8,0.525,1,1309.0
1,225,70.6,0.525,1,1287.0
1,240,70.5,0.525,1,1264.0
1,255,69.1,0.525,1,1391.0
1,270,70.4,0.525,1,1253.0
1,285,71.5,0.525,1,1206.0
1,300,71.0,0.525,1,1180.0
1,315,70.3,0.525,1,1262.0
1,330,70.3,0.525,1,1217.0
1,345,70.9,0.525,1,1218.0
1,360,70.9,0.525,1,1188.0
1,375,70.6,0.525,1,1209.0
1,390,69.5,0.525,1,1306.0
1,405,68.5,0.525,1,1401.0
1,420,69.0,0.525,1,1336.0
1,435,68.4,0.525,1,1368.0
1,450,68.1,0.525,1,1399.0
1,465,66.9,0.525,1,1474.0
1,480,67.9,0.525,1,1424.0
1,495,69.0,0.525,1,1335.0
1,510,69.2,0.525,1,1323.0
1,525,69.9,0.525,1,1209.0
1,540,69.9,0.525,1,1250.0
1,555,69.8,0.525,1,1250.0
1,570,69.6,0.525,1,1302.0
1,585,69.7,0.525,1,1309.0
1,600,69.0,0.525,1,1311.0
1,615,70.1,0.525,1,1249.0
1,630,69.7,0.525,1,1280.0
1,645,69.5,0.525,1,1280.0
1,660,69.6,0.525,1,1305.0
1,675,69.7,0.525,1,1277.0
1,690,69.5,0.525,1,1310.0
1,705,69.3,0.525,1,1299.0
1,720,70.2,0.525,1,1214.0
1,735,70.7,0.525,1,1196.0
1,750,69.4,0.525,1,1338.0
1,765,69.4,0.525,1,1292.0
1,780,69.4,0.525,1,1298.0
1,795,69.4,0.525,1,1322.0
1,810,69.9,0.525,1,1250.0
1,825,69.5,0.525,1,1285.0
1,840,69.4,0.525,1,1322.0
1,855,69.1,0.525,1,1358.0
1,870,69.1,0.525,1,1356.0
1,885,69.3,0.525,1,1315.0
1,900,69.2,0.525,1,1301.0
1,915,69.1,0.525,1,1299.0
1,930,69.6,0.525,1,1280.0
1,945,68.7,0.525,1,1362.0
1,960,68.9,0.525,1,1318.0
1,975,69.2,0.525,1,1312.0
1,990,69.9,0.525,1,1253.0
1,1005,70.0,0.525,1,1239.0
1,1020,70.2,0.525,1,1271.0
1,1035,69.1,0.525,1,1336.0
1,1050,69.8,0.525,1,1241.0
1,1065,68.6,0.525,1,1374.0
1,1080,69.0,0.525,1,1357.0
1,1095,68.7,0.525,1,1394.0
1,1110,69.7,0.525,1,1295.0
1,1125,69.1,0.525,1,1334.0
1,1140,68.9,0.525,1,1350.0
1,1155,67.9,0.525,1,1481.0
1,1170,67.2,0.525,1,1594.0
1,1185,67.6,0.525,1,1483.0
1,1200,67.7,0.525,1,1491.0
1,1215,67.7,0.525,1,1481.0
1,1230,67.1,0.525,1,1525.0
1,1245,67.7,0.525,1,1485.0
1,1260,68.3,0.525,1,1392.0
1,1275,67.3,0.525,1,1509.0
1,1290,66.9,0.525,1,1554.0
1,1305,67.3,0.525,1,1519.0
1,1320,67.1,0.525,1,1541.0
1,1335,67.8,0.525,1,1448.0
1,1350,69.0,0.525,1,1320.0
1,1365,67.3,0.525,1,1513.0
